Topic,Abstract
climate change,"BACKGROUND As global climate change accelerates, one of the most urgent tasks for the coming decades is to develop accurate predictions about biological responses to guide the effective protection of biodiversity. Predictive models in biology provide a means for scientists to project changes to species and ecosystems in response to disturbances such as climate change. Most current predictive models, however, exclude important biological mechanisms such as demography, dispersal, evolution, and species interactions. These biological mechanisms have been shown to be important in mediating past and present responses to climate change. Thus, current modeling efforts do not provide sufficiently accurate predictions. Despite the many complexities involved, biologists are rapidly developing tools that include the key biological processes needed to improve predictive accuracy. The biggest obstacle to applying these more realistic models is that the data needed to inform them are almost always missing. We suggest ways to fill this growing gap between model sophistication and information to predict and prevent the most damaging aspects of climate change for life on Earth. ADVANCES On the basis of empirical and theoretical evidence, we identify six biological mechanisms that commonly shape responses to climate change yet are too often missing from current predictive models: physiology; demography, life history, and phenology; species interactions; evolutionary potential and population differentiation; dispersal, colonization, and range dynamics; and responses to environmental variation. We prioritize the types of information needed to inform each of these mechanisms and suggest proxies for data that are missing or difficult to collect. We show that even for well-studied species, we often lack critical information that would be necessary to apply more realistic, mechanistic models. Consequently, data limitations likely override the potential gains in accuracy of more realistic models. Given the enormous challenge of collecting this detailed information on millions of species around the world, we highlight practical methods that promote the greatest gains in predictive accuracy. Trait-based approaches leverage sparse data to make more general inferences about unstudied species. Targeting species with high climate sensitivity and disproportionate ecological impact can yield important insights about future ecosystem change. Adaptive modeling schemes provide a means to target the most important data while simultaneously improving predictive accuracy. OUTLOOK Strategic collections of essential biological information will allow us to build generalizable insights that inform our broader ability to anticipate species’ responses to climate change and other human-caused disturbances. By increasing accuracy and making uncertainties explicit, scientists can deliver improved projections for biodiversity under climate change together with characterizations of uncertainty to support more informed decisions by policymakers and land managers. Toward this end, a globally coordinated effort to fill data gaps in advance of the growing climate-fueled biodiversity crisis offers substantial advantages in efficiency, coverage, and accuracy. Biologists can take advantage of the lessons learned from the Intergovernmental Panel on Climate Change’s development, coordination, and integration of climate change projections. Climate and weather projections were greatly improved by incorporating important mechanisms and testing predictions against global weather station data. Biology can do the same. We need to adopt this meteorological approach to predicting biological responses to climate change to enhance our ability to mitigate future changes to global biodiversity and the services it provides to humans. Emerging models are beginning to incorporate six key biological mechanisms that can improve predictions of biological responses to climate change. Models that include biological mechanisms have been used to project (clockwise from top) the evolution of disease-harboring mosquitoes, future environments and land use, physiological responses of invasive species such as cane toads, demographic responses of penguins to future climates, climate-dependent dispersal behavior in butterflies, and mismatched interactions between butterflies and their host plants. Despite these modeling advances, we seldom have the detailed data needed to build these models, necessitating new efforts to collect the relevant data to parameterize more biologically realistic predictive models. New biological models are incorporating the realistic processes underlying biological responses to climate change and other human-caused disturbances. However, these more realistic models require detailed information, which is lacking for most species on Earth. Current monitoring efforts mainly document changes in biodiversity, rather than collecting the mechanistic data needed to predict future changes. We describe and prioritize the biological information needed to inform more realistic projections of species’ responses to climate change. We also highlight how trait-based approaches and adaptive modeling can leverage sparse data to make broader predictions. We outline a global effort to collect the data necessary to better understand, anticipate, and reduce the damaging effects of climate change on biodiversity."
climate change,"Like most literature about climate change and its implications, this book is a distressing reminder that without urgent, sustained, universal and drastic changes in human behaviour, luckless surviv..."
climate change,"Climate change could potentially interrupt progress toward a world without hunger. A robust and coherent global pattern is discernible of the impacts of climate change on crop productivity that could have consequences for food availability. The stability of whole food systems may be at risk under climate change because of short-term variability in supply. However, the potential impact is less clear at regional scales, but it is likely that climate variability and change will exacerbate food insecurity in areas currently vulnerable to hunger and undernutrition. Likewise, it can be anticipated that food access and utilization will be affected indirectly via collateral effects on household and individual incomes, and food utilization could be impaired by loss of access to drinking water and damage to health. The evidence supports the need for considerable investment in adaptation and mitigation actions toward a “climate-smart food system” that is more resilient to climate change influences on food security."
climate change,"In marine ecosystems, rising atmospheric CO2 and climate change are associated with concurrent shifts in temperature, circulation, stratification, nutrient input, oxygen content, and ocean acidification, with potentially wide-ranging biological effects. Population-level shifts are occurring because of physiological intolerance to new environments, altered dispersal patterns, and changes in species interactions. Together with local climate-driven invasion and extinction, these processes result in altered community structure and diversity, including possible emergence of novel ecosystems. Impacts are particularly striking for the poles and the tropics, because of the sensitivity of polar ecosystems to sea-ice retreat and poleward species migrations as well as the sensitivity of coral-algal symbiosis to minor increases in temperature. Midlatitude upwelling systems, like the California Current, exhibit strong linkages between climate and species distributions, phenology, and demography. Aggregated effects may modify energy and material flows as well as biogeochemical cycles, eventually impacting the overall ecosystem functioning and services upon which people and societies depend."
climate change,"are between 70–95% below 2010 emissions, and they are between 110–120% below 2010 emissions in 2100."
climate change,"Significance The food system is responsible for more than a quarter of all greenhouse gas emissions while unhealthy diets and high body weight are among the greatest contributors to premature mortality. Our study provides a comparative analysis of the health and climate change benefits of global dietary changes for all major world regions. We project that health and climate change benefits will both be greater the lower the fraction of animal-sourced foods in our diets. Three quarters of all benefits occur in developing countries although the per capita impacts of dietary change would be greatest in developed countries. The monetized value of health improvements could be comparable with, and possibly larger than, the environmental benefits of the avoided damages from climate change. What we eat greatly influences our personal health and the environment we all share. Recent analyses have highlighted the likely dual health and environmental benefits of reducing the fraction of animal-sourced foods in our diets. Here, we couple for the first time, to our knowledge, a region-specific global health model based on dietary and weight-related risk factors with emissions accounting and economic valuation modules to quantify the linked health and environmental consequences of dietary changes. We find that the impacts of dietary changes toward less meat and more plant-based diets vary greatly among regions. The largest absolute environmental and health benefits result from diet shifts in developing countries whereas Western high-income and middle-income countries gain most in per capita terms. Transitioning toward more plant-based diets that are in line with standard dietary guidelines could reduce global mortality by 6–10% and food-related greenhouse gas emissions by 29–70% compared with a reference scenario in 2050. We find that the monetized value of the improvements in health would be comparable with, or exceed, the value of the environmental benefits although the exact valuation method used considerably affects the estimated amounts. Overall, we estimate the economic benefits of improving diets to be 1–31 trillion US dollars, which is equivalent to 0.4–13% of global gross domestic product (GDP) in 2050. However, significant changes in the global food system would be necessary for regional diets to match the dietary patterns studied here."
climate change,"ion and from groundwater resources (medium confidence), in the context of increased demand (from agriculture, energy and industry, and domestic use) and cross-sectoral implications that are not fully understood. {23.4.3, 23.9.1} Some adaptation is possible through uptake of more water-efficient technologies and water-saving strategies. {23.4.3, 23.7.2} Climate change will change the geographic distribution of wine grape varieties (high confidence) and this will reduce the value of wine products and the livelihoods of local wine communities in Southern and Continental Europe (medium confidence) and increase production in Northern Europe (low confidence). {23.4.1, 23.3.5, 23.5.4; Box 23-2} Some adaptation is possible through technologies and good practice. {Box 23-2} Climate warming will increase forest productivity in Northern Europe (medium confidence), {23.4.4} although damage from pests and diseases in all sub-regions will increase due to climate change (high confidence). {23.4.4} Wildfire risk in Southern Europe (high confidence) and damages from storms in Central Europe (low confidence) may also increase due to climate change. {23.4.4} Climate change is likely to cause ecological and socioeconomic damages from shifts in forest tree species range (from southwest to northeast) (medium confidence), and in pest species distributions (low confidence). {23.4.4} Forest management measures can enhance ecosystem resilience (medium confidence)."
climate change,"Gas hydrate, a frozen, naturally‐occurring, and highly‐concentrated form of methane, sequesters significant carbon in the global system and is stable only over a range of low‐temperature and moderate‐pressure conditions. Gas hydrate is widespread in the sediments of marine continental margins and permafrost areas, locations where ocean and atmospheric warming may perturb the hydrate stability field and lead to release of the sequestered methane into the overlying sediments and soils. Methane and methane‐derived carbon that escape from sediments and soils and reach the atmosphere could exacerbate greenhouse warming. The synergy between warming climate and gas hydrate dissociation feeds a popular perception that global warming could drive catastrophic methane releases from the contemporary gas hydrate reservoir. Appropriate evaluation of the two sides of the climate‐methane hydrate synergy requires assessing direct and indirect observational data related to gas hydrate dissociation phenomena and numerical models that track the interaction of gas hydrates/methane with the ocean and/or atmosphere. Methane hydrate is likely undergoing dissociation now on global upper continental slopes and on continental shelves that ring the Arctic Ocean. Many factors—the depth of the gas hydrates in sediments, strong sediment and water column sinks, and the inability of bubbles emitted at the seafloor to deliver methane to the sea‐air interface in most cases—mitigate the impact of gas hydrate dissociation on atmospheric greenhouse gas concentrations though. There is no conclusive proof that hydrate‐derived methane is reaching the atmosphere now, but more observational data and improved numerical models will better characterize the climate‐hydrate synergy in the future."
climate change,"Accumulating impacts Anthropogenic climate change is now in full swing, our global average temperature already having increased by 1°C from preindustrial levels. Many studies have documented individual impacts of the changing climate that are particular to species or regions, but individual impacts are accumulating and being amplified more broadly. Scheffers et al. review the set of impacts that have been observed across genes, species, and ecosystems to reveal a world already undergoing substantial change. Understanding the causes, consequences, and potential mitigation of these changes will be essential as we move forward into a warming world. Science, this issue p. 10.1126/science.aaf7671 BACKGROUND Climate change impacts have now been documented across every ecosystem on Earth, despite an average warming of only ~1°C so far. Here, we describe the full range and scale of climate change effects on global biodiversity that have been observed in natural systems. To do this, we identify a set of core ecological processes (32 in terrestrial and 31 each in marine and freshwater ecosystems) that underpin ecosystem functioning and support services to people. Of the 94 processes considered, 82% show evidence of impact from climate change in the peer-reviewed literature. Examples of observed impacts from meta-analyses and case studies go beyond well-established shifts in species ranges and changes to phenology and population dynamics to include disruptions that scale from the gene to the ecosystem. ADVANCES Species are undergoing evolutionary adaptation to temperature extremes, and climate change has substantial impacts on species physiology that include changes in tolerances to high temperatures, shifts in sex ratios in species with temperature-dependent sex determination, and increased metabolic costs of living in a warmer world. These physiological adjustments have observable impacts on morphology, with many species in both aquatic and terrestrial systems shrinking in body size because large surface-to-volume ratios are generally favored under warmer conditions. Other morphological changes include reductions in melanism to improve thermoregulation, and altered wing and bill length in birds. Broader-scale responses to climate change include changes in the phenology, abundance, and distribution of species. Temperate plants are budding and flowering earlier in spring and later in autumn. Comparable adjustments have been observed in marine and freshwater fish spawning events and in the timing of seasonal migrations of animals worldwide. Changes in the abundance and age structure of populations have also been observed, with widespread evidence of range expansion in warm-adapted species and range contraction in cold-adapted species. As a by-product of species redistributions, novel community interactions have emerged. Tropical and boreal species are increasingly incorporated into temperate and polar communities, respectively, and when possible, lowland species are increasingly assimilating into mountain communities. Multiplicative impacts from gene to community levels scale up to produce ecological regime shifts, in which one ecosystem state shifts to an alternative state. OUTLOOK The many observed impacts of climate change at different levels of biological organization point toward an increasingly unpredictable future for humans. Reduced genetic diversity in crops, inconsistent crop yields, decreased productivity in fisheries from reduced body size, and decreased fruit yields from fewer winter chill events threaten food security. Changes in the distribution of disease vectors alongside the emergence of novel pathogens and pests are a direct threat to human health as well as to crops, timber, and livestock resources. Humanity depends on intact, functioning ecosystems for a range of goods and services. Enhanced understanding of the observed impacts of climate change on core ecological processes is an essential first step to adapting to them and mitigating their influence on biodiversity and ecosystem service provision. Climate change impacts on ecological processes in marine, freshwater, and terrestrial ecosystems. Impacts can be measured on multiple processes at different levels of biological organization within ecosystems. In total, 82% of 94 ecological processes show evidence of being affected by climate change. Within levels of organization, the percentage of processes impacted varies from 60% for genetics to 100% for species distribution. Most ecological processes now show responses to anthropogenic climate change. In terrestrial, freshwater, and marine ecosystems, species are changing genetically, physiologically, morphologically, and phenologically and are shifting their distributions, which affects food webs and results in new interactions. Disruptions scale from the gene to the ecosystem and have documented consequences for people, including unpredictable fisheries and crop yields, loss of genetic diversity in wild crop varieties, and increasing impacts of pests and diseases. In addition to the more easily observed changes, such as shifts in flowering phenology, we argue that many hidden dynamics, such as genetic changes, are also taking place. Understanding shifts in ecological processes can guide human adaptation strategies. In addition to reducing greenhouse gases, climate action and policy must therefore focus equally on strategies that safeguard biodiversity and ecosystems."
climate change,"Abstract Counties more likely to be affected by climate change pay more in underwriting fees and initial yields to issue long-term municipal bonds compared to counties unlikely to be affected by climate change. This difference disappears when comparing short-term municipal bonds, implying the market prices climate change risks for long-term securities only. Higher issuance costs for climate risk counties are driven by bonds with lower credit ratings. Investor attention is a driving factor, as the difference in issuance costs on bonds issued by climate and nonclimate affected counties increases after the release of the 2006 Stern Review on climate change."
climate change,"Assessing species' vulnerability to climate change is a prerequisite for developing effective strategies to conserve them. The last three decades have seen exponential growth in the number of studies evaluating how, how much, why, when, and where species will be impacted by climate change. We provide an overview of the rapidly developing field of climate change vulnerability assessment (CCVA) and describe key concepts, terms, steps and considerations. We stress the importance of identifying the full range of pressures, impacts and their associated mechanisms that species face and using this as a basis for selecting the appropriate assessment approaches for quantifying vulnerability. We outline four CCVA assessment approaches, namely trait‐based, correlative, mechanistic and combined approaches and discuss their use. Since any assessment can deliver unreliable or even misleading results when incorrect data and parameters are applied, we discuss finding, selecting, and applying input data and provide examples of open‐access resources. Because rare, small‐range, and declining‐range species are often of particular conservation concern while also posing significant challenges for CCVA, we describe alternative ways to assess them. We also describe how CCVAs can be used to inform IUCN Red List assessments of extinction risk. Finally, we suggest future directions in this field and propose areas where research efforts may be particularly valuable."
climate change,"We show that the distributions of both exploited and nonexploited North Sea fishes have responded markedly to recent increases in sea temperature, with nearly two-thirds of species shifting in mean latitude or depth or both over 25 years. For species with northerly or southerly range margins in the North Sea, half have shown boundary shifts with warming, and all but one shifted northward. Species with shifting distributions have faster life cycles and smaller body sizes than nonshifting species. Further temperature rises are likely to have profound impacts on commercial fisheries through continued shifts in distribution and alterations in community interactions."
climate change,"Abstract Future changes in climate pose significant challenges for society, not the least of which is how best to adapt to observed and potential future impacts of these changes to which the world is already committed. Adaptation is a dynamic social process: the ability of societies to adapt is determined, in part, by the ability to act collectively. This article reviews emerging perspectives on collective action and social capital and argues that insights from these areas inform the nature of adaptive capacity and normative prescriptions of policies of adaptation. Specifically, social capital is increasingly understood within economics to have public and private elements, both of which are based on trust, reputation, and reciprocal action. The public-good aspects of particular forms of social capital are pertinent elements of adaptive capacity in interacting with natural capital and in relation to the performance of institutions that cope with the risks of changes in climate. Case studies are presented of present-day collective action for coping with extremes in weather in coastal areas in Southeast Asia and of community-based coastal management in the Caribbean. These cases demonstrate the importance of social capital framing both the public and private institutions of resource management that build resilience in the face of the risks of changes in climate. These cases illustrate, by analogy, the nature of adaptation processes and collective action in adapting to future changes in climate."
climate change,"Most of the planet's diversity is concentrated in the tropics, which includes many regions undergoing rapid climate change. Yet, while climate‐induced biodiversity changes are widely documented elsewhere, few studies have addressed this issue for lowland tropical ecosystems. Here we investigate whether the floristic and functional composition of intact lowland Amazonian forests have been changing by evaluating records from 106 long‐term inventory plots spanning 30 years. We analyse three traits that have been hypothesized to respond to different environmental drivers (increase in moisture stress and atmospheric CO2 concentrations): maximum tree size, biogeographic water‐deficit affiliation and wood density. Tree communities have become increasingly dominated by large‐statured taxa, but to date there has been no detectable change in mean wood density or water deficit affiliation at the community level, despite most forest plots having experienced an intensification of the dry season. However, among newly recruited trees, dry‐affiliated genera have become more abundant, while the mortality of wet‐affiliated genera has increased in those plots where the dry season has intensified most. Thus, a slow shift to a more dry‐affiliated Amazonia is underway, with changes in compositional dynamics (recruits and mortality) consistent with climate‐change drivers, but yet to significantly impact whole‐community composition. The Amazon observational record suggests that the increase in atmospheric CO2 is driving a shift within tree communities to large‐statured species and that climate changes to date will impact forest composition, but long generation times of tropical trees mean that biodiversity change is lagging behind climate change."
climate change,"Marine ecosystems are centrally important to the biology of the planet, yet a comprehensive understanding of how anthropogenic climate change is affecting them has been poorly developed. Recent studies indicate that rapidly rising greenhouse gas concentrations are driving ocean systems toward conditions not seen for millions of years, with an associated risk of fundamental and irreversible ecological transformation. The impacts of anthropogenic climate change so far include decreased ocean productivity, altered food web dynamics, reduced abundance of habitat-forming species, shifting species distributions, and a greater incidence of disease. Although there is considerable uncertainty about the spatial and temporal details, climate change is clearly and fundamentally altering ocean ecosystems. Further change will continue to create enormous challenges and costs for societies worldwide, particularly those in developing countries."
climate change,TABLE OF CONTENTS PAGE Executive Summary i-xxvii Preface & Acknowledgements
climate change,"The severity of damaging human-induced climate change depends not only on the magnitude of the change but also on the potential for irreversibility. This paper shows that the climate change that takes place due to increases in carbon dioxide concentration is largely irreversible for 1,000 years after emissions stop. Following cessation of emissions, removal of atmospheric carbon dioxide decreases radiative forcing, but is largely compensated by slower loss of heat to the ocean, so that atmospheric temperatures do not drop significantly for at least 1,000 years. Among illustrative irreversible impacts that should be expected if atmospheric carbon dioxide concentrations increase from current levels near 385 parts per million by volume (ppmv) to a peak of 450–600 ppmv over the coming century are irreversible dry-season rainfall reductions in several regions comparable to those of the “dust bowl” era and inexorable sea level rise. Thermal expansion of the warming ocean provides a conservative lower limit to irreversible global average sea level rise of at least 0.4–1.0 m if 21st century CO2 concentrations exceed 600 ppmv and 0.6–1.9 m for peak CO2 concentrations exceeding ≈1,000 ppmv. Additional contributions from glaciers and ice sheet contributions to future sea level rise are uncertain but may equal or exceed several meters over the next millennium or longer."
climate change,"In this short and deliberately provocative paper I reflect on what seems to be a yawning gulf between the potential contribution of the social sciences and the typically restricted models and concepts of social change embedded in contemporary environmental policy in the UK, and in other countries too. As well as making a strong case for going beyond what I refer to as the dominant paradigm of ‘ABC’—attitude, behaviour, and choice—I discuss the attractions of this model, the blind spots it creates, and the forms of governance it sustains. This exercise provides some insight into why so much relevant social theory remains so marginalised, and helps identify opportunities for making better use of existing intellectual resources."
climate change,"Wheat grain protein concentration is an important determinant of wheat quality for human nutrition that is often overlooked in efforts to improve crop production. We tested and applied a 32‐multi‐model ensemble to simulate global wheat yield and quality in a changing climate. Potential benefits of elevated atmospheric CO2 concentration by 2050 on global wheat grain and protein yield are likely to be negated by impacts from rising temperature and changes in rainfall, but with considerable disparities between regions. Grain and protein yields are expected to be lower and more variable in most low‐rainfall regions, with nitrogen availability limiting growth stimulus from elevated CO2. Introducing genotypes adapted to warmer temperatures (and also considering changes in CO2 and rainfall) could boost global wheat yield by 7% and protein yield by 2%, but grain protein concentration would be reduced by −1.1 percentage points, representing a relative change of −8.6%. Climate change adaptations that benefit grain yield are not always positive for grain quality, putting additional pressure on global wheat production."
